Name,Description,Type,Data
Additional information,Additional information,input,
Capacity,Capacity,input,
URL,URL,input,
Model,Model,input,
Manufacturer,Manufacturer,input,
Manufacture date,Manufacture date,input,
Serial number,Serial number,input,
Weight,Weight,input,
Height,Height,input,
Length,Length,input,
Volume,Volume,input,
Depth,Depth,input,
Size,Size,input,
Contents,Contents,input,
Safety,Safety,input,
Supplier,Supplier,input,
Signal word,Signal word,input,
Chemical formula,Chemical formula,input,
Alias,Alias,input,
Function,Function,input,
Family,Family,input,
Operating temperature (range),Operating temperature (range),input,
Operating temperature (min),Operating temperature (min),input,
Operating temperature (max),Operating temperature (max),input,
Operating pressure,Operating pressure,input,
Rating,Rating,input,
Supply voltage (range),Supply voltage (range),input,
Supply voltage (min),Supply voltage (min),input,
Supply voltage (max),Supply voltage (max),input,
Power,Power,input,
DC supply voltage (VDD),DC supply voltage (VDD),input,
Number of pages,Number of pages,input,
Battery life,Battery life,input,
Publisher,Publisher,input,
Producer,Producer,input,
Director,Director,input,
Socket,Socket,input,
RAM,RAM,input,
Floppy drive,Floppy drive,input,
Capacitance,Capacitance,input,
Voltage,Voltage,input,
Diameter,Diameter,input,
Radius,Radius,input,
Top speed,Top speed,input,
Configuration,Configuration,input,
Colour,Colour,input,
Wavelength,Wavelength,input,
Frequency,Frequency,input,
Cost,Cost,input,
Cost/Unit,Cost/Unit,input,
Pages,Pages,input,
Language,Language,input,
Strength,Strength,input,
Breed,Breed,input,
Species,Species,input,
Baud rate,Baud rate,input,
Bandwidth,Bandwidth,input,
"Bandwith, upload","Bandwith, upload",input,
"Bandwidth, download","Bandwidth, download",input,
Genre,Genre,input,
Number of tracks,Number of tracks,input,
Album length,Album length,input,
Quantity,Quantity,input,
Vintage,Vintage,input,
Disaplacement,Disaplacement,input,
Status,Status,input,
